recordID,campaign,surveyID,starttime,endtime,today,enumeratorID,deviceID,plotID,province,district,road_type,gps_origin,latitude,longitude,altitude,accuracy,bearing,bearing_te,picture,field_acce,hab,hab_perc,hab_parth_presence,hab_parth_abundance,hab_parth_phenology,hab_crop_irrigation,hab_crop_type,hab_crop_pheno,hab_forest_type,hab_veg_abundance,zygo_prese,zygo_defol,final_comm
1,1,2447b12a-87c3-475d-90a6-da12ad6d196b,12/12/2018 14:46,12/12/2018 14:50,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-fab4807d-8554-4b7c-b017-076594b540bf,punjab,jhelum,National,33.05461619049311 73.49465634673834 327.0 8.0,33.05461619,73.49465635,327,8,NA,,1544608091548.jpg,,Forest,80,no,0,,,,,Natural or semi-natural,,,,
155,1,2447b12a-87c3-475d-90a6-da12ad6d196b,12/12/2018 14:46,12/12/2018 14:50,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-fab4807d-8554-4b7c-b017-076594b540bf,punjab,jhelum,National,33.05461619049311 73.49465634673834 327.0 8.0,33.05461619,73.49465635,327,8,NA,,1544608091548.jpg,,Grassland,20,no,0,,,,,,,,,
5380,1,e93c49a4-ed44-467b-87e0-b4bf3c8e0663,12/12/2018 14:54,12/12/2018 14:58,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-34aedcd9-a7dd-496d-8619-b0680bfd4079,punjab,jhelum,National,33.061016611754894 73.47544318065047 335.0 6.0,33.06101661,73.47544318,335,6,NA,,1544608553079.jpg,,Grassland,20,no,0,,,,,,,,,
5596,1,e93c49a4-ed44-467b-87e0-b4bf3c8e0663,12/12/2018 14:54,12/12/2018 14:58,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-34aedcd9-a7dd-496d-8619-b0680bfd4079,punjab,jhelum,National,33.061016611754894 73.47544318065047 335.0 6.0,33.06101661,73.47544318,335,6,NA,,1544608553079.jpg,,Forest,80,no,0,,,,,Natural or semi-natural,,,,
3,1,4c8bf32d-b06c-4db8-b150-c5d85af8ad38,12/12/2018 15:03,12/12/2018 15:09,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-5e91695c-2779-4a59-bdfc-218f2dcd9777,punjab,jhelum,National,33.06711100973189 73.4609136544168 273.0 10.0,33.06711101,73.46091365,273,10,NA,,1544609099233.jpg,,Shrubland and woodland,70,yes,20-40%,Ripening of seeds,,,,,,no,none,
157,1,4c8bf32d-b06c-4db8-b150-c5d85af8ad38,12/12/2018 15:03,12/12/2018 15:09,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-5e91695c-2779-4a59-bdfc-218f2dcd9777,punjab,jhelum,National,33.06711100973189 73.4609136544168 273.0 10.0,33.06711101,73.46091365,273,10,NA,,1544609099233.jpg,,Bare areas,10,yes,20-40%,Ripening of seeds,,,,,,no,none,
291,1,4c8bf32d-b06c-4db8-b150-c5d85af8ad38,12/12/2018 15:03,12/12/2018 15:09,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-5e91695c-2779-4a59-bdfc-218f2dcd9777,punjab,jhelum,National,33.06711100973189 73.4609136544168 273.0 10.0,33.06711101,73.46091365,273,10,NA,,1544609099233.jpg,,Grassland,20,yes,20-40%,Ripening of seeds,,,,,,no,none,
5235,1,db5e789a-9bd9-425b-ba7d-91106256316c,12/12/2018 15:11,12/12/2018 15:15,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-e57216cb-2c24-4022-a57e-ff09c4f467e8,punjab,jhelum,National,33.08062783442438 73.44959179870784 295.0 5.0,33.08062783,73.4495918,295,5,NA,,1544609597376.jpg,,Bare areas,100,no,0,,,,,,,,,Under construction land
5,1,e5c16496-7772-45a4-bd0f-577b92697a4a,12/12/2018 15:20,12/12/2018 15:25,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-a71fe938-8d35-41a7-a8a8-c60dddb3d46a,punjab,jhelum,National,33.09847353491932 73.44208689406514 367.0 5.0,33.09847353,73.44208689,367,5,NA,,1544610094139.jpg,,Forest,40,yes,20-40%,Senescence,,,,Natural or semi-natural,,no,none,
158,1,e5c16496-7772-45a4-bd0f-577b92697a4a,12/12/2018 15:20,12/12/2018 15:25,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-a71fe938-8d35-41a7-a8a8-c60dddb3d46a,punjab,jhelum,National,33.09847353491932 73.44208689406514 367.0 5.0,33.09847353,73.44208689,367,5,NA,,1544610094139.jpg,,Grassland,30,yes,10-20%,Senescence,,,,,,no,none,
