"species","decimalLongitude","decimalLatitude","year","coordinateUncertaintyInMeters","basisOfRecord"
"Parthenium hysterophorus",82.364006,17.866772,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",79.107502,11.000418,2020,7,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",87.020865,21.616631,2020,29,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",78.677294,10.816161,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",79.975266,14.435601,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.50699,21.21623,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",78.83384,13.180866,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.561019,13.067099,2020,9,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.46597,18.489973,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",82.37146,17.864489,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",87.752418,22.391904,2020,73,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",81.820587,20.276697,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",83.005012,25.004903,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.779482,17.659207,2020,8,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",79.154324,17.827997,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.308442,22.602636,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",87.752418,22.391904,2020,46,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.570659,21.040874,2020,9,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",78.98512,21.1599,2020,129,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.645944,11.338168,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",81.86194,25.467494,2020,68,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",79.727196,18.151903,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",78.985756,21.160745,2020,5,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",86.641113,23.688899,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",70.436773,21.342761,2020,9,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",84.144998,25.766641,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",79.780464,26.194633,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.46597,18.489973,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.983877,12.411611,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.983877,12.411611,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.308442,22.602636,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",79.162632,15.002805,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",80.770926,27.929097,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.936646,22.705824,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",83.003904,25.276908,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",70.840851,22.176607,2020,8,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",80.427229,16.331184,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",83.008109,25.359368,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",81.747562,22.803027,2020,78,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.207904,28.69455,2020,65,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",85.096356,25.639699,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",76.428288,29.120578,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",81.842072,25.452433,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",76.81972,30.677934,2020,9,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",74.847641,31.663608,2020,65,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",76.472515,30.968765,2020,50,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",73.985023,19.26453,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",74.847587,31.663484,2020,65,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",83.00326,25.276242,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",78.627621,13.251689,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",84.901016,25.110268,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.208983,28.67945,2020,6,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",74.02034,18.329529,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",73.216836,25.105273,2020,31,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",76.267088,18.054769,2020,9,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",85.854541,25.635125,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.84738,10.863617,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.333699,28.520551,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",85.324346,25.06747,2020,26,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",80.864243,25.257132,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.692222,32.136944,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.958696,26.482077,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.679717,9.57481,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.36971,28.39851,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",75.434509,29.511794,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",86.861712,24.641056,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.632222,8.165,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",86.527599,23.712778,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",78.384756,24.670088,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",84.871193,19.323403,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",86.526768,23.707791,2020,8,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.47753,10.385433,2020,5,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",76.645088,27.589363,2020,NA,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",86.99609,22.98781,2020,72,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",74.245993,18.845675,2020,5,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.320286,28.610299,2020,22,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.495388,23.213956,2020,26,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",80.0283,16.237233,2020,4,"HUMAN_OBSERVATION"
"Parthenium hysterophorus",77.725357,16.599653,2020,NA,"HUMAN_OBSERVATION"
